system   D            wsystem.c:583  maybe_parent_dir                 [   0.00044] Also searching C:\Users\Adam\Documents\GitHub\cpsc585\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00079] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00081] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00577] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:695  _al_d3d_init_display             [   0.02408] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.02412] Allegro version: 5.0.8
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   0.15980] Got 482 visuals.
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.15984] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.15985] Decoding visual no. 1...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.15994] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.15995] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.15996] Single-buffer: yes
display  I           wgl_disp.c:250  display_pixel_format             [   0.15997] Swap method: undefined
display  I           wgl_disp.c:251  display_pixel_format             [   0.15998] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.15998] Depth buffer: 24 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.15999] Sample buffers: no
display  I           wgl_disp.c:259  display_pixel_format             [   0.16000] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.16001] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.16002] Single Buffer requirement not met.
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16003] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16004] Decoding visual no. 2...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16013] Decoding:
